year,rndt,tas
1850,-0.4085097489851961,-0.17113596385723895
1851,0.04228225491236515,-0.1742547108245276
1852,-0.06259330157202214,-0.14882232559375552
1853,-0.4767366957976549,-0.1540609289488657
1854,-0.09794367349378774,-0.18474429264631453
1855,-0.38045507420524416,-0.11678390571859154
1856,-0.3179045621941583,-0.20490222437734928
1857,0.14937791117917243,-0.2158843358172362
1858,-0.21058739916620084,-0.03257380317683101
1859,-0.8533246110658297,-0.16292738712314758
1860,0.041614540406825995,-0.33437849918391294
1861,0.030912739591926197,-0.19000825370034136
1862,-0.2601225764545205,-0.14642675907981584
1863,-0.33062470824923196,-0.16735872393951468
1864,0.10504028568870183,-0.14870596245083334
1865,-0.3375084491902953,-0.11188425872131802
1866,-0.49915040362915875,-0.09669751896836942
1867,-0.5220863725428302,-0.31430087500712034
1868,-0.026852147697539408,-0.3888663246347619
1869,0.3134576287995401,-0.34089475974576544
1870,-0.018200524082857328,-0.12850313910416844
1871,-0.3485776989818845,-0.10798921014179541
1872,-0.21339998416144113,-0.2071943072358522
1873,-0.10437819220281597,-0.09870468091634166
1874,-0.16520283690267945,-0.2256180667096146
1875,0.9006184627066744,-0.2963218331250914
1876,-0.5630357010224571,-0.07079342029931013
1877,0.13155898260114895,-0.14503909338844778
1878,-0.5799037761003945,-0.05370493129902343
1879,0.0048531054643916605,-0.2250711873774094
1880,-0.05937362146555358,-0.2534142379677746
1881,-0.05840481500018768,-0.21152509680331377
1882,0.014774132887808378,-0.2558433766423036
1883,-0.6729091947367323,-0.11813975173623703
1884,-0.148714047963324,-0.1991894198101818
1885,-0.31004939101269713,-0.24283979376099296
1886,0.1847576090271872,-0.24122777827363961
1887,-0.1822800736842396,-0.12563865779929984
1888,-0.33533319966059594,0.02095619050055575
1889,-0.39220538265752225,-0.20569915971577757
1890,0.01136759620233363,-0.12283663916559817
1891,-0.40103286410774786,-0.1569793408108353
1892,-0.1888403474235787,-0.3207014102914627
1893,-0.05122532131196067,-0.17845908744033068
1894,-0.15492891998015068,-0.26130910775572147
1895,0.28295109587791956,-0.4208602703379256
1896,0.5042192152060778,-0.2867937083986476
1897,-0.73086862174911,-0.13680312639417025
1898,-0.2813426891659816,-0.21203539291161633
1899,0.13647338275762877,-0.34794697921176976
1900,0.1578534880851663,-0.3869165720856813
1901,-0.4444905746833996,-0.21855456879774238
1902,-0.09851800167272984,-0.3007686268033467
1903,0.03788429455758546,-0.30906635397838045
1904,-0.6472908971660445,-0.18723518388293314
1905,-0.42440609693919384,-0.25708439559417684
1906,-0.10417798307172177,-0.4133132422441008
1907,0.42293992704678374,-0.39338050323289053
1908,-0.5847640464798474,-0.1889385658968763
1909,-0.20742344322263762,-0.21119862470339967
1910,0.036219337685437836,-0.32197560947895454
1911,-0.14913499331400715,-0.22248425705225827
1912,-0.33903347570660003,-0.03022272019660477
1913,-0.18511388074374224,-0.27420902616671583
1914,0.20189510604737393,-0.3303184692024388
1915,-0.23196258106609946,-0.3427929226950823
1916,-0.1334299570470847,-0.26124562393960105
1917,0.17119141030364915,-0.2675684569226746
1918,-0.3429503425177387,-0.18026850690949914
1919,0.1815445566115983,-0.28485296019624684
1920,0.3640449342319272,-0.24243622416184962
1921,-0.12118829209988746,-0.19457709053722283
1922,0.21074409975668118,-0.34347383490603534
1923,0.03032823575691168,-0.4069582759659056
1924,0.17284424930612374,-0.25938083256698974
1925,-0.09170609213133218,-0.17303211810161656
1926,0.07405572528622884,-0.20857137930477165
1927,0.15628787550126333,-0.24576352869138418
1928,-0.2345007492447877,-0.22817846869446612
1929,0.06949416968477351,-0.2679099421197293
1930,0.002874189970128782,-0.17543033348249537
1931,-0.7150075434835657,-0.18477409163580205
1932,0.844595212932461,-0.47217796269131895
1933,0.317568075914167,-0.281136054204012
1934,0.17423325690135982,0.07235184885854551
1935,-0.430979787549191,0.04942934853085035
1936,-0.3663990180396013,-0.1722363085028178
1937,0.34555602606788227,-0.3445907056467945
1938,0.32242271481291596,-0.24578681755292564
1939,0.22561655459597318,-0.25880946311093567
1940,-0.3334587985821287,-0.10733175639728643
1941,0.051918011345350124,-0.30156196917408806
1942,0.5746410462798934,-0.3118720008330911
1943,-0.6314105523440361,-0.14431379870967476
1944,0.6809882161731053,-0.24981714693348067
1945,0.057524601231790484,-0.007571469265428732
1946,-0.37878854600873524,-0.0109845344144901
1947,-0.0969965833297124,-0.011096777543627923
1948,0.24974575120786824,-0.20907965156095543
1949,0.15771687184856376,-0.1829051438117517
1950,0.07753691899736737,-0.1459308101929082
1951,0.3572506146868051,-0.10480742899289908
1952,0.06962189639416749,-0.14584516713256335
1953,-0.26812001247408546,0.05153561080703639
1954,-0.6463851515316321,-0.08208989495182095
1955,0.39425178380635373,-0.3027064835578699
1956,0.8239192561327684,-0.21174778087964796
1957,-0.895681875746348,0.054570218341552845
1958,0.23305424172657752,-0.15767810080984646
1959,0.08976099196073051,-0.12464402906766736
1960,0.2814628919511506,-0.11003770086693976
1961,0.6287929957725709,-0.27706936358737266
1962,-0.3383321593111219,-0.13356158074776658
1963,-0.8545176142694828,-0.09932205839658081
1964,0.6406833644993952,-0.27128748291153215
1965,-0.12001660364531119,-0.03855617026067648
1966,-0.2629268704669556,-0.12364416565333158
1967,0.3234179623404003,-0.15666018580731134
1968,0.08401808847584391,-0.1265104905254475
1969,-0.06124565641148649,-0.07607236794740402
1970,0.7065905315837995,-0.10920569022869131
1971,0.18133866871032467,-0.17782895776980467
1972,0.2013383389643053,-0.011203320301035546
1973,-0.025360532638401878,0.02426699580962577
1974,0.5008904262784455,-0.05392363406798495
1975,0.2588918129722231,-0.031266332727057033
1976,-0.15029269676442425,0.05911048540866659
1977,0.34523298974228567,0.053457879969414535
1978,0.6850461922511073,0.05585714411171239
1979,0.02974119561234545,0.23826733834846436
1980,0.022420829462390657,0.2632195279433631
1981,0.022465667216906127,0.0886458955437206
1982,0.32261540444535797,0.11557177124205964
1983,0.1069150602055089,0.08603043048634618
1984,0.8391168604972279,0.06788949877426376
1985,0.3105096051981633,0.26256218132249387
1986,0.08434864784574359,0.3493575683876884
1987,0.5919274428415662,0.2443148537196862
1988,0.6546304421286351,0.29628859486149395
1989,0.22807735042451327,0.31448216607839186
1990,0.1315701219926524,0.3251700355058347
1991,0.6562004040761451,0.211677087589635
1992,0.18647986815064144,0.3561592315199391
1993,0.24856128593131643,0.35409866263398726
1994,0.2465375693180505,0.3540105189574092
1995,0.4911390088854404,0.46444237589633985
1996,0.45707640307746544,0.32460990454177363
1997,1.4033805037744145,0.4047355766502392
1998,0.2858761422409799,0.593416908313884
1999,-0.23271218891035517,0.6291895835604464
2000,0.7607343577445391,0.4638434427338325
2001,-0.13903740790634345,0.7067734699997459
2002,0.4850625328759719,0.5184539181814785
2003,0.5150578507639381,0.48968315704843235
2004,0.24936737604194548,0.5914135562746878
2005,0.4303651002728799,0.5107590208181136
