year,rndt,tas
1850,,
1851,,
1852,,
1853,,
1854,,
1855,,
1856,,
1857,,
1858,,
1859,,
1860,,
1861,,
1862,,
1863,,
1864,,
1865,,
1866,,
1867,,
1868,,
1869,,
1870,,
1871,,
1872,,
1873,,
1874,,
1875,,
1876,,
1877,,
1878,,
1879,,
1880,,
1881,,
1882,,
1883,,
1884,,
1885,,
1886,,
1887,,
1888,,
1889,,
1890,,
1891,,
1892,,
1893,,
1894,,
1895,,
1896,,
1897,,
1898,,
1899,,
1900,,
1901,,
1902,,
1903,,
1904,,
1905,,
1906,,
1907,,
1908,,
1909,,
1910,,
1911,,
1912,,
1913,,
1914,,
1915,,
1916,,
1917,,
1918,,
1919,,
1920,,
1921,,
1922,,
1923,,
1924,,
1925,,
1926,,
1927,,
1928,,
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,,
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,,
1950,-0.15146482369743097,-0.062063587569753054
1951,-0.05175477411777507,-0.019461474811322432
1952,-0.5131689328491689,0.04733562584840456
1953,-0.1603615209145346,-0.20751996730876954
1954,-0.15355549173610683,-0.1850713246157909
1955,-0.2805647292283808,-0.18420128192539664
1956,-0.08587746511143024,0.026341976632124897
1957,-0.08704899379472408,-0.13110850876648783
1958,-0.06278869117118546,-0.15902056029727873
1959,-0.019403080287467844,-0.0880049038876507
1960,-0.1404243092466686,-0.12972946380261874
1961,-0.034586943583960306,-0.1301884166795162
1962,-0.13283964384928737,-0.14637519903780571
1963,-0.48629586972970884,-0.12184280837306005
1964,-0.9695422201778356,-0.200550356809174
1965,-0.7086506108132866,-0.22963554353680138
1966,0.10039276879895453,-0.39645929365141797
1967,0.22496878430366962,-0.2613713893711065
1968,-0.187611661944608,-0.25391856935468127
1969,-0.41844214602528496,-0.29060005587206206
1970,0.05516040210142137,-0.15079935523354493
1971,0.054012048945438096,-0.04586453510825095
1972,0.024569223101785553,-0.08154685428809216
1973,0.1299641083119738,-0.08188976414680837
1974,-0.00594774806289422,-0.037467542219644656
1975,-0.46481894968363235,-0.18122698587561104
1976,0.023632052398369296,-0.1959038109514779
1977,0.20564278230509103,-0.11722877482372951
1978,0.34781543711465446,-0.09728317346178983
1979,0.19533992149294477,-0.0875182350214061
1980,0.4726006722384284,0.008588068165551022
1981,0.22245026552806735,-0.039007162356483605
1982,-0.10195936376865689,-0.1229838315806262
1983,-0.2175279682654434,-0.1610972330498157
1984,0.04651074640744213,0.035895285673433364
1985,0.007548084858605364,0.08618988526353633
1986,0.5723820646778108,-0.035760481347921313
1987,0.8120231416458594,0.055410732818671704
1988,0.4005422107707801,0.2200421103661938
1989,0.6609638138172045,0.28136674013813945
1990,0.44203535481196354,0.38412029172889106
1991,-0.4297107996720797,0.3735090907022993
1992,-1.0676459027729024,0.05449585831263448
1993,0.17550504785317855,0.09827981742256497
1994,0.3837145817864638,0.15137806694599476
1995,0.15102324656720612,0.2070379105104223
1996,0.4040661484397603,0.23492714430310002
1997,0.4260212885779282,0.21758091108364397
1998,1.0512982082971476,0.21837914656441626
1999,0.8556392465493161,0.25616827296573774
2000,1.1656209347990085,0.4387183761112965
2001,0.5871372887372246,0.5440706433046785
2002,0.829668369829939,0.5341540532637907
2003,0.675420831628486,0.6196373820872623
2004,0.3996469112384915,0.7257945068334095
2005,0.3059450064873346,0.6440255293689745
