year,rndt,tas
1850,,
1851,,
1852,,
1853,,
1854,,
1855,,
1856,,
1857,,
1858,,
1859,,
1860,,
1861,0.24297406794650556,-0.09156481008886885
1862,-0.01816936939344771,0.011064476388753519
1863,0.16802552080339694,0.08634289174989362
1864,-0.041828715916736314,0.11427336614764272
1865,-0.4519074359383666,-0.11029797742600067
1866,0.49698315115308844,0.009483671596171916
1867,-0.3260884460852793,0.029400929609721516
1868,0.21931184428224526,-0.07279913469693611
1869,0.4472064129944755,-0.10073927208901523
1870,-0.3946110836289165,-0.09727403146132474
1871,0.8820027700385111,-0.05598474830253508
1872,-0.10892821504886285,0.2841747603599174
1873,-0.2253585499446018,0.08304527428526853
1874,0.055454322806383516,0.134430576120792
1875,0.30711257978539663,0.3845019947054311
1876,-0.4256469107775871,0.3674365949736398
1877,0.06914983517989981,0.3111657066222051
1878,0.05346155261433694,0.18581333477590078
1879,-0.34435610905211433,0.2383766707011432
1880,-0.2930786380166239,0.1462441127641796
1881,0.8185306175816578,0.1689067485658029
1882,0.17119090138470483,0.20728868305025117
1883,-0.44959730795662267,0.12103036662267641
1884,0.5343446292227867,0.08054850136312552
1885,0.26597175004195606,0.18804361945325354
1886,-0.35378606707352844,0.21483982839458804
1887,0.3746731044527962,0.15915923297069412
1888,-0.06605150969582496,0.2793573105797691
1889,0.11567942913134743,0.1198126802565298
1890,0.33474137948898885,0.16212317038235824
1891,0.4524426396082788,0.15782288253598153
1892,-0.07083314354403569,0.022128884600817855
1893,0.538080610024636,0.11334152513370555
1894,0.9512946008844523,0.37321105612790006
1895,-0.599963235060585,0.47323334610246093
1896,-0.4882187952011776,0.25736267321866535
1897,-0.47914819034930645,0.2502637714230218
1898,-0.03605857656536671,0.013275705458966058
1899,0.39153333240311383,0.06835414596514511
1900,0.08724230073092087,0.02454787253708446
1901,0.33882853686898784,0.020738737523913642
1902,0.2470818052265571,0.02218721724597117
1903,0.08666700160331686,0.19123476859857647
1904,-0.023310040534198606,0.2877623253184538
1905,0.010784979853198706,0.2536700185170844
1906,0.3840964454786757,0.1540563811781226
