year,rndt,tas
1850,0.8826666042044877,0.06314068277282558
1851,-0.8504304823048443,0.46458646374725276
1852,-0.38975975552786224,0.2758159487689795
1853,0.027137198543456975,0.07603794531695485
1854,-0.03521483828582461,0.2650970847848271
1855,-0.7467616769650505,-0.14795105475462833
1856,0.30178662229512554,-0.03586559234889819
1857,-1.8080450876694414,0.05425465943744712
1858,-0.13273327323477702,-0.1603922268514566
1859,0.09627594023207564,-0.30679452337614066
1860,-0.04258908135963679,-0.3428039405135337
1861,0.32368825333696805,-0.14277028933219071
1862,-0.3160736691528143,-0.13263278520372523
1863,0.3586941932586001,-0.23536207643815032
1864,-0.03120034451691822,-0.21512016283821822
1865,0.17697083357187182,-0.3580167703676693
1866,0.6134833092609284,-0.08994406531826371
1867,-0.0343220820390826,-0.03737812866637569
1868,-0.16493852563849032,-0.13923428135257154
1869,-0.16861703363444747,-0.18883976208786635
1870,-0.3571751285478655,-0.2786426944970799
1871,0.8706760766488486,-0.31878589247793343
1872,0.3261333313647157,0.04888123296376534
1873,-0.3470297803084321,0.08011912324303694
1874,-0.4642853844747066,0.015489817300817776
1875,0.42547936048850943,-0.21152946693274544
1876,-0.04115062857268015,-0.2658158329772391
1877,0.1284501799160438,-0.11224836218553946
1878,0.6463097733423524,-0.06048116469202114
1879,-0.08122198535797054,0.0943550107451756
1880,-0.40790210169684826,0.01684196790694159
1881,0.08444197177529134,-0.20964700930932167
1882,0.12988085683710437,-0.1912602503404628
1883,-0.11043501962429048,0.018977448558416654
1884,-0.6843571793107088,-0.20476483165560921
1885,-1.4674483565397907,-0.18268043396102485
1886,-1.2258852921941923,-0.3860949890397478
1887,-0.14275204181417678,-0.38123586637806284
1888,-0.8556887348904638,-0.3950534142321658
1889,0.14817443947673326,-0.6384059240974125
1890,-0.3563686368269856,-0.41855512983767085
1891,0.1479023748859305,-0.3360332041617653
1892,-0.6129431661633049,-0.25571720387966934
1893,0.6281728054034943,-0.2801252471079465
1894,0.3237056455020735,-0.15332694739657882
1895,0.3201800427744246,-0.031377991618342094
1896,-1.0451044456047356,-0.0781503877062164
1897,0.18348679323486294,-0.3253496854446212
1898,0.5774200755267884,-0.042737580300808986
1899,-0.018721805811338754,0.025429950769364495
1900,-0.010087164404055216,-0.014453603204060528
1901,-0.3459991087729435,-0.018764600498457185
1902,-0.1579120935700189,-0.2923830055294161
1903,-0.22228805542339103,-0.3434767805172214
1904,-0.9465844432425996,-0.052854855794009836
1905,0.352214895359225,-0.27620112378480144
1906,-0.09567594156830239,-0.04299097499244908
1907,0.8121327312990019,-0.2316640907803844
1908,0.29639460101525117,0.06119150272712659
1909,-0.7573900926670802,-0.01293030705306819
1910,0.4491468501082494,-0.16048610076262548
1911,-0.30304651328641796,-0.034597244717815556
1912,-0.8423428183137673,-0.1103571896363178
1913,-0.20046948914702512,-0.32395612467479395
1914,-0.06939795798707848,-0.4076999286197065
