year,rndt,tas
1850,-0.09587470605760966,-0.05556440021689468
1851,0.015470396964043212,0.05122375714311526
1852,-0.16187224801512437,-0.060022426345199165
1853,-0.13960965047451168,-0.048704402883421004
1854,0.24338743217909573,-0.10356288658149045
1855,-0.02422832430973661,0.0013893653742987528
1856,-0.781576235668401,-0.16543316729636595
1857,-0.9072245025201701,-0.17568585101870818
1858,-0.48189123436264936,-0.2214713728301755
1859,-0.2005610820553585,-0.2754297952511706
1860,0.22681610291873255,-0.2004224356052949
1861,0.24586579095933794,-0.11897264876720708
1862,-0.021737732788546776,-0.14033139471625114
1863,0.45596086023655386,-0.08258132565208598
1864,-0.012939439621807955,0.051070885736919536
1865,-0.11330276826197878,0.04884432344209699
1866,-0.03771473458933391,0.14165188106778714
1867,0.14532863449561736,0.0520161309005213
1868,0.23372842861586207,0.0428165581564978
1869,0.2867646813595333,0.05311382576775259
1870,0.029447876333345373,0.0713187327624875
1871,0.27895527361327765,0.06878279918271346
1872,0.36131449780317837,0.17920240372685234
1873,-0.054516465280997295,0.17458130998293578
1874,-0.1028059434902957,0.1233119845019625
1875,-0.36535856539404676,0.016851794149128334
1876,-0.32802473746760086,-0.034309532339496705
1877,-0.04353213857413607,-0.019359089132043057
1878,-0.059874356332519106,-0.008177249161917644
1879,-0.04193586864030863,0.004750399070739301
1880,-0.2216582225849398,-0.07006649428929752
1881,-0.10944964051305324,-0.002949380468332189
1882,0.15988345099345244,-0.0680764378641167
1883,-0.9543790818962492,-0.11875412055432359
1884,-1.9552917470228788,-0.44876183205032777
1885,-0.40404630403243874,-0.42093923564319385
1886,-0.47661482826695095,-0.45915855648831894
1887,-0.4421075925936151,-0.48900439627400755
1888,0.08081006053907913,-0.28186758230295555
1889,-0.12030780735784201,-0.26115227544509406
1890,-0.20649083821066463,-0.20118044318265524
1891,-0.034377911306539964,-0.11826568529329506
1892,0.0856799380067154,-0.10249392960088244
1893,0.23926971685857268,0.012858984069661497
1894,0.030648470399943523,0.04459571677983831
1895,-0.31438506146313233,-0.10850540183345932
1896,-0.3270459842052465,-0.03536262022421018
1897,-0.18338675814573455,-0.21175365495806395
1898,0.12963735415381925,-0.11547757150454648
1899,-0.03064548111641822,-0.13210433392731602
1900,0.04772533511128548,-0.17794898443281681
1901,0.05352909945582951,-0.20140195782892079
1902,0.15029473414779204,-0.13381271736195308
1903,-0.4844289779804285,-0.23547085001839227
1904,-0.2241948191247284,-0.18806052801356068
1905,0.12288317482774384,-0.10404226773124492
1906,-0.17837675652810012,-0.1227427002074819
1907,-0.02903590382359293,-0.15735017738290935
1908,0.14828683389227137,-0.11096388452828403
1909,-0.016068824651649532,-0.09485322188749024
1910,-0.19823837695047075,-0.21553365940618127
1911,0.1456474908904918,-0.2025872059775793
1912,-0.07028700464801337,-0.13863691541539916
1913,-0.5836136976135009,-0.16507698593261466
1914,-0.05871397197620354,-0.15578818315166623
1915,0.03173864488239057,-0.14158779449096906
1916,-0.12151483782621615,-0.14378145115159668
1917,-0.14311990508343322,-0.13663832407956988
1918,0.45280371348334353,-0.05079925207087399
1919,0.18671673176853668,0.058688822168145784
1920,-0.08758684790768238,-0.03381265792256727
1921,0.017316778243833635,-0.03819646032292212
1922,0.14365250582424474,-0.07240126711720525
1923,0.21703963096575288,-0.04541054753235585
1924,-0.04470244524773648,-0.02968469586255651
1925,-0.27172531616363454,-0.020545008169714645
1926,0.5456407098024272,0.05900127659960693
1927,0.16030431730006,0.12877742161020933
1928,-0.13827187160218557,0.10106968799613014
1929,0.06286845658575164,0.031206429646620865
1930,-0.011236080360864284,-0.06912583210671149
1931,-0.06515674677668908,-0.08575781299744752
1932,0.17946235560624282,-0.015701569395597897
1933,0.13751890372856224,-0.0351368466934332
1934,-0.17732665178059412,-0.03133247904293057
1935,0.032573386220756596,-0.02640778030737086
1936,0.21285168766022858,0.03081924532582055
1937,-0.44546596023511614,-0.05030376261599182
1938,0.004944845726413405,-0.10541839576116747
1939,-0.27931147063522604,-0.11110083844109415
1940,0.3183938232275712,-0.02347373731835963
1941,0.006817896575365505,0.10098849111985449
1942,0.08935485245505011,-0.029335607246234
1943,-0.07947953250304825,0.039921292887205105
1944,0.1401171798670807,0.042994930178016
1945,-0.08444133069074648,0.10090944022241881
1946,-0.43015366172283126,0.030952993820221764
1947,-0.101237481656914,-0.0838764846309914
