year,rndt,tas
1850,-0.19562630740931297,-0.05737991988240765
1851,-0.24011205239698086,-0.039002485744504156
1852,-0.06964589948795208,-0.15299007896572903
1853,-0.26949233009155193,-0.1920685412868579
1854,0.49083378163069824,-0.2660197094160708
1855,0.3425859261535038,0.10978527557728057
1856,-0.5520268488551494,0.04295537420551909
1857,-0.7586097783967034,-0.0009678956197944899
1858,-0.7850292937042553,-0.23112508880359428
1859,-0.39967325216947813,-0.17123977985050942
1860,0.1161653024293372,-0.23519758744612318
1861,0.2016636803718086,-0.2008780652117821
1862,0.36520960892541154,-0.10648805947249684
1863,0.29814260798757175,-0.18986013239788235
1864,-0.5408639203334786,-0.03353665668157646
1865,-0.2771618553006334,-0.1656678681266044
1866,-0.16214584320208303,-0.03320526828559878
1867,0.4700726453150139,0.01987920247410102
1868,0.39400495767269206,-0.1171199142058299
1869,0.1256434965360569,-0.07120632374022762
1870,0.46757839912159227,0.028004539512437532
1871,0.39232208889042397,0.21401514546568023
1872,0.6950160317718002,0.27860063358008347
1873,0.06486655483426773,0.25152905812694826
1874,-0.5193796655043741,0.2542052306748701
1875,0.021000755561459528,0.005448631638103052
1876,-0.4351552065957094,0.10773085107462066
1877,0.06699666507526558,0.0035840702386735757
1878,-0.03592120431929402,0.0034600738175072365
1879,0.4236841365118096,0.1989053574138211
1880,0.07779405309896958,0.21183965056286524
1881,-0.4673171689418467,0.15742695649299776
1882,-0.1426979176649894,-0.07189106961834568
1883,-1.4491394793156616,-0.15561447499868564
1884,-2.0687838544526045,-0.5515545271477436
1885,-0.7917962302993118,-0.6162364980844472
1886,-0.7152506941468317,-0.7084691668532059
1887,-0.2556626995941542,-0.5854299939718999
1888,-0.4855005096205076,-0.23653289236398223
1889,-0.3697595543598169,-0.41983448226631026
1890,-0.5108778103671767,-0.3437408706423639
1891,0.023198617552182554,-0.13475638560521475
1892,0.5661320162779333,-0.13184967644434664
1893,0.8825562744169559,0.12201409010719999
1894,-0.20119884703990465,0.1784730740565692
1895,-0.09684801815591015,0.08633672532613446
1896,-0.8504867172751318,0.0679271752141517
1897,-0.7151192555296007,-0.273621024100521
1898,0.6198296207909522,-0.22533014563180132
1899,-0.21527528397753315,-0.12055780763938628
1900,-0.3457763506518319,-0.2590118395892773
1901,0.4967799647969713,-0.19441551523630096
1902,0.04950152453135104,-0.1346032561669972
1903,-0.9112161425581036,-0.24070301453133425
1904,-0.10415468284215024,-0.18557389086191733
1905,0.04265005103785313,-0.014074851768953067
1906,-0.05002810184959117,-0.025802561513671662
1907,-0.20658650238837595,0.009114936098910675
1908,0.03220229327230584,-0.0261266666626625
1909,0.009310042685086728,-0.03575827607193105
1910,-0.7748715147413918,-0.27803159344051664
1911,0.5860547676997072,-0.13305764267852283
1912,-0.15806906947055666,-0.037797214435897786
1913,-0.5796908553952278,-0.05282472361471946
1914,-0.39654613894158786,-0.152294110680657
1915,0.32960455484941065,-0.16720660910431207
1916,0.13857514214912214,-0.07089801392891104
1917,-0.33967947195246495,0.030562260363694804
1918,-0.22497147544677887,-0.15314651818232505
1919,0.17240349102728203,-0.19896024082419217
1920,0.7411001477487247,-0.1490378331023976
1921,0.2338959636258977,-0.03272758728149938
1922,-0.06736323421351642,-0.10520283495065996
1923,0.17721207965279007,-0.08623948739995058
1924,-0.38540148655063433,-0.10845349649235914
1925,-0.3773821959778303,-0.1531947247638641
