year,rndt,tas
1850,-0.10766354723149618,-0.023807286842327358
1851,0.22869839964333494,0.06027078634843974
1852,-0.35203239964489796,0.030531529291181414
1853,-0.09840867982940438,0.15350296871008595
1854,0.11060517075712539,-0.013531340515953616
1855,0.49729844592418715,-0.2368371376415439
1856,-0.3803376137137491,0.027084769604869052
1857,-0.024446696015175462,-0.019999957933748647
1858,-0.00841602915225792,0.085423870772388
1859,0.3264338183098232,-0.14915760553896007
1860,-0.5279357556716917,0.05415100827099195
1861,0.854635185181138,-0.0340480368831777
1862,0.49376131327402106,-0.13650352237164043
1863,-0.5116899338359673,0.06322800737444823
1864,-0.2949640881309108,0.10145479456701878
1865,0.2565606279214734,0.17618686926465443
1866,-0.2973336665697417,0.301221360299337
1867,-0.2245621054766218,-0.14286281896511355
1868,-0.020147965781248445,-0.18177783787575663
1869,-0.08573737830040784,-0.30867447479300836
1870,-0.09559826597008225,-0.26760954518113067
1871,0.45419423093089506,-0.45074471921600434
1872,0.48773414156714523,-0.2622277398840538
1873,0.03380718645921377,0.012649075492049633
1874,-0.7592368228910402,0.24888890502239747
1875,0.32275621555086786,-0.1565540137728476
1876,0.25709565721122374,0.08528404533223011
1877,-0.48795333187062795,0.0727359855466716
1878,0.016829411052199816,0.1420148428069865
1879,0.28014979602265555,-0.11393356683566935
1880,-0.21401845589460322,0.21959260591313523
1881,0.29596790881807067,0.043346615837492664
1882,-0.9720843532615362,0.019735174137395006
1883,0.13486327824027455,-0.15309902173368073
1884,0.48424534632736993,-0.37520303390607523
1885,0.2410635723741592,-0.14868640234334407
1886,0.07407742472148016,-0.34472182969955156
1887,-0.3320207953459402,-0.11371961639730443
1888,-0.1814532843704484,-0.16222565972230996
1889,0.4150641661729111,-0.35742280015466577
1890,-0.10484654692496065,-0.10080236473561399
1891,0.12896731684504914,-0.303436107657717
1892,-0.22980002998461657,-0.3585872744644689
1893,-0.4096202924237673,-0.15944430288067224
1894,-0.003806819099082759,-0.37634696971667836
1895,0.17923383970790496,-0.36748957848271857
1896,-0.06526555544137125,-0.24205889783308976
1897,0.13026035905093636,-0.17147732880152944
1898,-0.23362093473269852,0.09880409370231291
1899,-0.14925736782942067,0.22394232217783383
1900,-0.36928656510453095,0.23655372353772464
1901,-0.16731735488967558,0.1893981571165
1902,-0.4680104751764844,0.018380918320701767
1903,0.5654001752586169,-0.0182486342786774
1904,-0.8278362235346606,0.07350528792574096
1905,-0.40406768937126003,-0.07381715959985513
1906,-0.033098254679970296,-0.36461671439218435
1907,-0.13230889487034858,-0.16278340224829435
1908,-0.3936117357902589,-0.1608202894986448
1909,1.4781366573673296,-0.3947240308108917
