year,rndt,tas
1850,-0.18238373441333808,0.0424300947593565
1851,0.22541200000222547,-0.18350040841214652
1852,0.11704420325619651,-0.12068489526302528
1853,0.3031137744204642,-0.028333187213752355
1854,-0.2515009213217581,0.03629797355691835
1855,-0.06774671481041993,0.10233579275419515
1856,-0.20558031913677724,0.03780272086062269
1857,0.18611052799422223,0.031099931090523114
1858,0.002414242310393888,0.027378885771838668
1859,-0.03328929322452723,0.08817625165434038
1860,-0.1255564653077272,-0.09176516710269879
1861,0.5003906952347165,0.017466225196210414
1862,-0.3191917194762737,0.12997318584941694
1863,-0.2931377006824732,0.0993322539698056
1864,-0.4656353661171124,-0.036122304469745355
1865,0.38985365568459257,-0.13286064770866232
1866,0.22325666271875663,0.051757829525661235
1867,-0.4305223656536526,0.10699269056015055
1868,0.0016284101562717979,-0.1868041794781675
1869,0.29434708598076326,0.029475884458145172
1870,-0.2561387003025146,0.09734233881454202
1871,0.008487469777941214,-0.006929918336493302
1872,-0.508990413725516,-0.008755260395628283
1873,0.4794486929226082,-0.21388342744811553
1874,0.3071652252702762,-0.03357183232717489
1875,-1.0828652363408764,-0.024262206472678825
1876,0.6963703154394779,-0.13440608988148597
1877,0.13458909533979124,0.04194857608448501
1878,-0.5265870856012214,-0.0421284898445947
1879,0.8064329658665969,-0.1721428766057784
1880,0.17857075403949238,0.19069523933433175
1881,-0.5084488742223073,0.32138490861852914
1882,0.11534429391686274,0.09521179847531584
1883,-0.12929371484510455,0.05978134008942106
1884,0.11234115965962987,0.1571055001008517
1885,-0.4964790459992032,0.023180511044449754
1886,-0.020984390410575315,-0.1644314036694027
1887,0.12549899971133696,-0.08517550476035467
1888,0.23446079731501754,0.014407827453305802
1889,-0.40557097497639916,0.10130484951720291
1890,0.4457508803159982,-0.05513120975974744
1891,0.044824233219020466,-0.014095789740838425
1892,-0.1077753041465968,-0.06141252392196747
1893,-0.3863888399460336,-0.13203365157553434
1894,0.46572748198059344,-0.1931238205292857
1895,-0.22452677677584632,-0.10344399666545313
1896,0.48794213767121164,-0.17352448468994908
1897,-0.3818610219569876,-0.011873208086547038
1898,-0.16009656935306396,-0.07715027896506399
1899,0.13767816643915295,-0.2213756149195433
1900,0.06814696101304775,-0.044629904833936966
1901,-0.4188433888928302,-0.07572642358738903
1902,0.19473340638783723,-0.2966173585946081
1903,0.037317707365230046,-0.16703904756406018
1904,-0.10581393861407094,-0.24310561263358751
1905,0.3151728510932998,-0.07087656554517707
1906,-0.03305591778484427,-0.03947172099801719
1907,-0.10645283067318302,0.030398195408395168
