year,rndt,tas
1850,,
1851,,
1852,,
1853,,
1854,,
1855,,
1856,,
1857,,
1858,,
1859,,
1860,-0.08576326826273828,0.008450556493642125
1861,0.24448937037175256,-0.010243160673155671
1862,-0.07456999550474563,0.07403166011664553
1863,0.05937152451654981,0.21594666958520747
1864,-1.007230614098063,0.21107350132683678
1865,0.2629704476346717,0.08873311473638523
1866,0.29240801096112534,0.1261798699766814
1867,-0.9645663666272668,0.026510285441304404
1868,0.13610020041977577,0.12382050116616483
1869,0.02628742563079811,0.25838161409535587
1870,-0.0028360035316978838,0.052985945767943576
1871,0.248806974026607,0.2340652463802826
1872,-0.44739044260113303,-0.019706024194761085
1873,-0.4249365603564712,-0.006099391430950618
1874,-0.02703539274061484,-0.3941273608323286
1875,0.42283730857307944,0.04062526969693181
1876,-0.12424947666006858,0.03828922288425929
1877,0.2577261225273588,0.006320130398933088
1878,0.5980787974911266,-0.14080533608387213
1879,-0.06757089700256813,0.10285733028325694
1880,0.4891084290449186,-0.13662531535487688
1881,-0.6277256115570538,0.037928094542678537
1882,0.3141048944880538,-0.1823050846258525
1883,0.4483775538835886,-0.22350577883918277
1884,-0.3853686804151977,-0.28035142356543474
1885,1.5141389068648436,-0.19753224066522534
1886,-0.3890764904839017,0.006317445650267928
1887,0.7677780788386741,-0.03696431032307146
1888,-0.009390503446496723,0.2217864974298891
1889,-0.08003198256766098,0.26649802260675415
1890,0.20526988597701745,0.3411228713619039
1891,-0.9001338563955272,0.5614176567361824
1892,-0.34702241615401874,-0.1127412284099023
1893,0.8033598084276292,0.011901947744433983
1894,-1.685754557224854,-0.12273686769526648
1895,0.4813534142165139,-0.5135774318439985
1896,0.6657884044449673,-0.12013956375778889
1897,-0.9784313827032918,0.013189887321573224
1898,0.13997807980754828,-0.2109588709502077
1899,0.20704102975348349,-0.0765013820571312
1900,-0.9783353055537134,-0.18995305615499092
1901,0.7741650197969108,-0.1984965657705402
1902,-0.1353206353687284,-0.08379068840690707
1903,0.43588589347407947,-0.31987222637803825
1904,-0.4583858207222278,-0.01474215782735655
1905,-0.5370510141442253,-0.14168475295298322
