year,rndt,tas
1850,-0.6339288839912314,0.03581437755656225
1851,-0.8882143410462078,-0.04597418518557106
1852,0.5148320221206433,-0.4077928529210908
1853,0.7704148900840693,-0.23965107232999117
1854,-0.2870653068065536,-0.10369501879267773
1855,-0.45019134915038705,-0.020664384447570683
1856,-0.30693733919029853,-0.07934105212990517
1857,0.20728592052689976,0.01307625916950883
1858,-0.0557657299069092,0.11179100159137079
1859,0.16945826949429943,-0.016469055018035306
1860,-0.12728142812520105,-0.09964150401964389
1861,0.19654349298855323,-0.1474453382492129
1862,0.25768339855082445,-0.2287786916888308
1863,-0.4114826616519309,0.1911819037165401
1864,0.27653188582557675,-0.1915229242392229
1865,0.7900640818455571,-0.1364928660873943
1866,-0.6602546891185028,0.20910131934971332
1867,-0.46516890942584155,-0.040951740333980524
1868,-0.38621080114690187,0.10654016400570754
1869,-0.35859867755361563,-0.09325144270763985
1870,0.5168287085524241,-0.07211956219686044
1871,-0.3209126983659729,-0.003439843450621538
1872,0.027455143265697757,-0.08950286517659833
1873,0.19168400125825258,0.00981075922919672
1874,0.5349865200796273,-0.055115359777346384
1875,-0.5206704483920532,-0.09206624421045717
1876,-0.18119407129897525,-0.03782946550421684
1877,0.5422996750669,-0.11013841734842345
1878,-0.4312124742001089,0.07752535090065749
1879,0.11834946146591108,0.07132085599494076
1880,-0.3137101634242896,0.16833850180222498
1881,-0.3026016715840285,0.059292132590712754
1882,-0.1910691829265545,-0.09124911298891902
1883,-0.2021314318317451,-0.11644880994975892
1884,0.023386434564756087,0.23001021485919182
1885,-1.2727342520767024,0.09993512531195847
1886,0.3296832991639036,-0.05141943089330425
1887,0.39250061202365316,0.0286192191189798
1888,-0.21395844879297954,0.11408715685178095
1889,0.01899692155220123,0.14481992264188648
1890,0.034124509071119746,0.14854827320749564
1891,-0.1733061373863194,0.25153829760438384
1892,-0.01864522177713468,0.07149096580707237
1893,0.3228371934316243,0.035099193839471354
1894,-0.7902902597906092,0.15488621353603094
1895,-0.02547806122710483,-0.10655661758215729
1896,0.3839771968181509,-0.1794914990314851
1897,0.4533599538984987,-0.03814446811060179
1898,-0.1803735747864721,-0.04798492376454533
