year,rndt,tas
1850,-0.06343109756329568,0.11985898601864164
1851,0.1292772635502928,0.12371926377227283
1852,-0.23514992467006834,0.0013287085765227857
1853,0.4040621932858528,0.05172609080221946
1854,-0.0649177892810684,0.04413981380565701
1855,-0.2662119156892544,0.062073552463687065
1856,-0.5610910112897471,-0.11791424193046396
1857,0.6506383342571525,-0.1277607466918198
1858,0.18552750572021637,-0.04518722205204995
1859,-0.10640159893743828,0.09239285801169217
1860,-0.36392577030731843,-0.0494484950226024
1861,0.06389456371785229,-0.07194770568725062
1862,0.6750826556002352,0.15387837206003496
1863,-1.0357859932270088,-0.10037550283442442
1864,-0.4426701076876469,-0.41614367147639086
1865,0.5340899596497053,-0.2057530291423859
1866,-0.3512400656935881,-0.3758599569779335
1867,-0.003389691435813802,-0.2364503705779839
1868,0.529354614881683,-0.2617932889946246
1869,-0.1421636855239825,0.17336948897337834
1870,0.525699325231443,0.14402575944819773
1871,0.01876607903896854,0.2861516233062389
1872,-0.38165463583685266,0.13690774435752928
1873,-0.21826161766209395,-0.10645426330631835
1874,-0.23696100029751221,0.01912995661956529
1875,0.1372579358869217,0.07707938374988998
1876,0.5408449444848458,0.043377394391939106
1877,-0.08170155147351466,0.10019521904621342
1878,0.4688042433997879,-0.15182136879690233
1879,0.08473409712954094,0.06286683139529714
1880,-0.3819334213290091,-0.15442385649413382
1881,0.3692743254728015,-0.1519021736867785
1882,-1.325148480252622,-0.2045312360868934
1883,0.7024175677161395,-0.09830110452855934
1884,-0.24023996961071248,-0.1991158760524172
1885,-0.10579617155570986,-0.1056168553373027
1886,-0.0006671267671691794,-0.08194522225466017
1887,0.07156440750375737,0.1957453087294425
1888,-0.3336852477392114,-0.00901196637181556
1889,0.8651359622566162,0.0525100036354047
1890,-0.2898162563848956,0.4391012488500792
1891,-1.1236584036522999,0.032802584946296065
1892,-0.9005058342018231,-0.3751883983736093
1893,0.3821890008573092,-0.5212654842673601
1894,0.056462494955724196,-0.38926806105655487
1895,0.8584360786540941,-0.11060448924985167
1896,-0.1712993117587729,-0.13658740947903425
1897,0.34496147206216676,0.07297434455477969
1898,-0.18472856045843855,0.024436385220212742
1899,-0.08939048713554598,0.20434493368480844
1900,-0.25867023590463134,0.1968493933234754
1901,0.21333112840613921,0.2129942036942225
1902,-1.193205214926735,0.03974770820195772
